probIn scale
0.5649981 0.0005304661
0.5474132 0.0005266427
0.5541291 0.0005241841
0.5474319 0.0005284385
0.558466 0.000538506
0.56305 0.0005263116
0.5678844 0.0005268974
0.5548679 0.0005347632
0.5466566 0.0005221913
0.5443562 0.0005313618
0.5535941 0.0005267731
0.5545319 0.000521433
0.557511 0.0005142898
0.5462215 0.0005108147
0.5534152 0.0005128693
0.5610536 0.00052518
0.5624196 0.0005252791
0.5581901 0.0005240165
0.5593243 0.0005246064
0.5529567 0.0005218993
0.5638537 0.0005123172
0.5836241 0.0005092659
0.5798316 0.000507925
0.5813402 0.0005140141
0.5882229 0.0005040235
0.5936143 0.0005019098
0.5966379 0.0004996465
0.6058922 0.0004859586
0.5907667 0.0004891682
0.5825948 0.0004921607
0.5841064 0.0004915151
0.5648066 0.000492552
0.5711074 0.0004952528
0.5765392 0.0004941567
0.5626452 0.0005032266
0.5594225 0.0005079846
0.5672566 0.0005056243
0.5618106 0.0005037041
0.5753807 0.0004997606
0.5849337 0.0005010496
0.5750485 0.0005011921
0.5739215 0.0004960116
0.5779705 0.0004944965
0.5800413 0.0004956174
0.5717812 0.0004985247
0.5783508 0.0004949863
0.5791505 0.0004869438
0.5840968 0.0004815654
0.5889535 0.0004758881
0.5944913 0.0004852198
0.5937359 0.0004891036
0.5913036 0.0004907153
0.5923917 0.000494659
0.5875659 0.0004929226
0.5959398 0.0004870667
0.6082235 0.0004812488
0.6020941 0.0004855142
0.6020154 0.0004968933
0.6054788 0.0005040102
0.613204 0.0005026064
0.6058482 0.0005092623
0.6044921 0.0005066125
0.6136675 0.0005062508
0.5836853 0.0005015511
0.5825538 0.0005149848
0.5780783 0.0005209006
0.5942989 0.0005209834
0.593981 0.0005208205
0.5833534 0.00051108
0.5813372 0.0005124698
0.5844391 0.0005186295
0.5787742 0.0005142148
0.596108 0.0005203449
0.6028572 0.0005229187
0.607186 0.0005231806
0.6055512 0.0005277853
0.6149276 0.0005419815
0.598015 0.0005490212
0.5984008 0.0005451447
0.6005209 0.0005442322
0.5967854 0.0005376319
0.6055792 0.0005402131
0.5959058 0.0005321903
0.5955 0.0005357296
0.5942035 0.0005368911
0.5884117 0.000539027
0.5984737 0.0005383074
0.6011328 0.0005333094
0.5948457 0.0005287029
0.5903715 0.0005209813
0.5889254 0.000524025
0.5758649 0.000534561
0.5844548 0.0005278283
0.5772773 0.0005280749
0.5783611 0.0005336463
0.5816624 0.0005399552
0.5826817 0.0005408993
0.5846933 0.000538275
0.5902556 0.0005546072
0.5871075 0.0005583249
0.5790174 0.0005598017
0.5810407 0.0005568684
0.5733281 0.0005652399
0.5606351 0.0005686823
0.5685657 0.0005650098
0.5673 0.0005666426
0.5679645 0.0005599595
0.5823261 0.0005611894
0.5880697 0.0005438013
0.5760803 0.0005408935
0.5653761 0.0005397894
0.5648644 0.0005402682
0.5577468 0.0005345845
0.5624267 0.0005304466
0.5632256 0.0005331307
0.5589315 0.0005337193
0.5489577 0.0005350355
0.5552832 0.0005214057
0.5545562 0.000530699
0.5594351 0.0005215811
0.5532726 0.0005333186
0.5437973 0.0005309358
0.5681383 0.0005370559
0.5490734 0.0005420013
0.5568532 0.0005421182
0.5647936 0.0005413552
0.5636883 0.0005373939
0.5709764 0.0005304586
0.5707785 0.0005353536
0.5809332 0.0005156593
0.5769756 0.0005172902
0.5688142 0.0005207058
0.5536445 0.000518614
0.5480432 0.0005206701
0.55709 0.0005195108
0.5512466 0.0005109596
0.5446732 0.0005144417
0.5423173 0.0005213128
0.5459708 0.0005285962
0.5370597 0.0005275978
0.5418302 0.0005213788
0.5375832 0.0005269391
0.5507407 0.000515907
0.5646689 0.0005079201
0.5660809 0.0004994881
0.561174 0.0005043144
0.5536652 0.0005134114
0.5578968 0.0005171436
0.5671758 0.0005134189
0.5640681 0.0005234283
0.5617122 0.0005179308
0.5576326 0.0005204892
0.5536607 0.0005244406
0.5462817 0.000522482
0.5425989 0.000524091
0.5351791 0.0005184426
0.5426652 0.0005141501
0.5525834 0.0005203002
0.554325 0.0005185418
0.5581313 0.00051547
0.5590729 0.0005149405
